blade_id,turbine_id,blade_type,length_m
B01000,T0128,Type-A,62.5
B01001,T0182,Type-E,60.0
B01002,T0012,Type-E,61.0
B01003,T0071,Type-C,58.0
B01004,t0057,Type-C,60.0
B01005,T0098,Type-A,61.0
B01006,T0099,Type-C,55.0
B01007,T0115,Type-B,58.0
B01008,T0096,Type-E,55.0
B01009,T0006,Type-D,58.0
B01010,T0165,Type-E,55.0
B01011,T0131,Type-A,60.0
B01012,t0098,Type-B,62.5
B01013,T0067,Type-D,58.0
B01014,T0035,Type-A,
B01015,T0043,Type-E,58.0
B01016,T0075,Type-B,62.5
B01017,T0064,Type-D,62.5
B01018,T0151,Type-E,58.0
B01019,T0042,Type-E,61.0
B01020,T0003,Type-A,58.0
B01021,T0062,Type-A,62.5
B01022,T0124,Type-E,61.0
B01023,T0058,Type-E,55.0
B01024,T0063,Type-C,58.0
B01025,T0059,Type-D,62.5
B01026,T0157,Type-A,61.0
B01027,T0012,Type-A,55.0
B01028,T0017,Type-B,58.0
B01029,T0179,Type-D,62.5
B01030,T0023,Type-C,62.5
B01031,T0087,Type-A,61.0
B01032,T0068,Type-D,62.5
B01033,T0074,Type-B,60.0
B01034,T0019,Type-B ,60.0
B01035,t0171,Type-B,55.0
B01036,T0099,Type-A,55.0
B01037,T0003,Type-A,55.0
B01038,T0073,Type-D,55.0
B01039,T0199,Type-B,58.0
B01040,T0139,Type-B,60.0
B01041,T0167,Type-A,61.0
B01042,t0132,Type-D,58.0
B01043,T0011,Type-A,58.0
B01044,T0194,Type-D,55.0
B01045,t0142,Type-D,62.5
B01046,T0141,Type-C,58.0
B01047,T0067,Type-C ,62.5
B01048,T0194,Type-A,58.0
B01049,T0017,Type-D,55.0
B01050,T0068,Type-C,61.0
B01051,t0088,Type-C,60.0
B01052,T0188,Type-E,61.0
B01053,T0148,Type-B,62.5
B01054,T0050,Type-D,61.0
B01055,T0106,Type-E,62.5
B01056,T0169,Type-A,55.0
B01057,T0043,Type-A,58.0
B01058,T0164,Type-C,60.0
B01059,T0101,Type-B,61.0
B01060,T0002,Type-B,60.0
B01061,T0096,Type-A,60.0
B01062,T0183,Type-E,58.0
B01063,T0010,Type-D,61.0
B01064,T0164,Type-B,62.5
B01065,T0046,Type-B,62.5
B01066,T0054,Type-C,60.0
B01067,t0038,Type-E,58.0
B01068,T0055,Type-E,55.0
B01069,T0086,Type-D,62.5
B01070,T0054,Type-D ,58.0
B01071,T0150,Type-B,61.0
B01072,T0078,Type-B,62.5
B01073,T0025,Type-C,60.0
B01074,T0077,Type-C,60.0
B01075,T0064,Type-C,55.0
B01076,T0088,Type-E,60.0
B01077,T0027,Type-C,58.0
B01078,T0019,Type-A,55.0
B01079,T0085,Type-A,62.5
B01080,t0133,Type-D,61.0
B01081,T0191,Type-D,58.0
B01082,T0081,Type-A,60.0
B01083,T0049,Type-A,58.0
B01084,T0090,Type-A,55.0
B01085,T0123,Type-B,61.0
B01086,T0180,Type-A,58.0
B01087,T0029,Type-B,62.5
B01088,T0121,Type-E,58.0
B01089,T0157,Type-B,55.0
B01090,T0105,Type-B,55.0
B01091,T0018,Type-C,60.0
B01092,T0055,Type-A,58.0
B01093,T0183,Type-D,58.0
B01094,T0119,Type-E,60.0
B01095,T0116,Type-D,60.0
B01096,T0129,Type-B,62.5
B01097,T0161,Type-E,61.0
B01098,T0146,Type-B,55.0
B01099,T0084,Type-B,58.0
B01100,T0006,Type-C,62.5
B01101,T0092,Type-D,61.0
B01102,T0076,Type-C,60.0
B01103,T0185,Type-C,58.0
B01104,T0053,Type-A,60.0
B01105,T0190,Type-A,60.0
B01106,T0060,Type-A,55.0
B01107,T0032,Type-E,62.5
B01108,T0135,Type-A,60.0
B01109,T0081,Type-A,55.0
B01110,T0072,Type-C,60.0
B01111,T0114,Type-A,60.0
B01112,T0032,Type-B,61.0
B01113,T0057,Type-A,61.0
B01114,T0083,Type-D,58.0
B01115,T0024,Type-D,60.0
B01116,T0127,Type-A,58.0
B01117,T0089,Type-E,60.0
B01118,T0196,Type-B,60.0
B01119,T0039,Type-D,62.5
B01120,T0083,Type-B,55.0
B01121,T0056,Type-B,62.5
B01122,t0151,Type-D,61.0
B01123,T0109,Type-A,61.0
B01124,T0076,Type-A,60.0
B01125,T0088,Type-E,60.0
B01126,T0080,Type-C,62.5
B01127,T0147,Type-A,62.5
B01128,T0064,Type-A,58.0
B01129,T0162,Type-C,55.0
B01130,T0128,Type-B,60.0
B01131,T0107,Type-C,55.0
B01132,T0081,Type-B,62.5
B01133,T0187,Type-B,55.0
B01134,T0147,Type-E,62.5
B01135,T0172,Type-D,61.0
B01136,T0073,Type-E,61.0
B01137,T0088,Type-D,62.5
B01138,T0154,Type-D,55.0
B01139,T0198,Type-D,58.0
B01140,T0001,Type-C,62.5
B01141,T0010,Type-A,62.5
B01142,T0120,Type-C,61.0
B01143,T0012,Type-E,62.5
B01144,T0196,Type-B,61.0
B01145,T0110,Type-D,60.0
B01146,T0151,Type-D,60.0
B01147,T0049,Type-C,58.0
B01148,T0100,Type-D,60.0
B01149,T0080,Type-A ,62.5
B01150,T0002,Type-D,62.5
B01151,T0007,Type-B,60.0
B01152,T0149,Type-E,58.0
B01153,T0002,Type-A,55.0
B01154,T0189,Type-C,60.0
B01155,T0076,Type-E,55.0
B01156,T0146,Type-B,61.0
B01157,T0110,Type-B,61.0
B01158,T0001,Type-B,55.0
B01159,T0092,Type-C,62.5
B01160,T0012,Type-E,58.0
B01161,T0122,Type-A,58.0
B01162,T0088,Type-A,58.0
B01163,t0187,Type-B,55.0
B01164,t0173,Type-B,60.0
B01165,T0193,Type-B,62.5
B01166,T0181,Type-D,62.5
B01167,T0166,Type-C,55.0
B01168,T0017,Type-E,62.5
B01169,T0183,Type-B,60.0
B01170,T0141,Type-C,61.0
