site_id,site_name,location
B01000,T0128,Nevada
s002,Storm Point,
S014,Storm Point,Nevada
S015,North Ridge,
S017,Sunny Crest,Nevada
S009,North Ridge,Montana
s009,wind hill,Nevada
S019,Wind Hill,Montana
S026,sunny crest,Oregon
s020,east side,California
S001,north ridge,
S021,sunny crest,
S027,Storm Point ,Kansas
s026,East Side,Texas
S010,North Ridge,
S003,Green Valley ,Texas
S006,east side,Montana
s005,Storm Point,California
S004,Green Valley ,Oregon
S003,East Side,Nevada
S011,Storm Point,California
S012,Green Valley,Oregon
S003,Wind Hill,Nevada
S006,North Ridge,California
S019,green valley,
s021,Storm Point,Oregon
S001,Wind Hill,Texas
S011,Green Valley,Montana
s014,sunny crest,
S015,North Ridge,Montana
S021,Green Valley ,Texas
s029,north ridge ,Kansas
S012,storm point,Texas
S022,East Side,California
S021,Green Valley,Oregon
S006,East Side,Kansas
S013,Storm Point,Kansas
S002,Sunny Crest ,Nevada
S030,north ridge,Montana
S030,Storm Point,Texas
S008,Sunny Crest ,Texas
S021,North Ridge ,Montana
S019,Green Valley,California
S003,green valley,Oregon
s023,green valley,Oregon
S017,Green Valley,
S016,north ridge ,Nevada
S028,East Side,Oregon
S024,East Side,Oregon
S011,Green Valley,Oregon
